"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"25","1c:ab:c0:da:38:39","qua","NOS_WIFI_Fon","0","19-07-2017 at 18:53:34","37.1326","-8.57096"
"26","84:94:8c:67:cd:28","qua","ZON-CD20","0","19-07-2017 at 13:18:54","37.135","-8.53894"
"27","00:26:5b:48:be:08","qua","Pastelaria Riviera","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"28","84:94:8c:67:cd:29","qua","NOS_WIFI_Fon","0","19-07-2017 at 13:18:54","37.135","-8.53894"
"29","00:26:5b:f5:bc:58","qua","ZON-BC50","0","19-07-2017 at 13:18:54","37.135","-8.53894"
"30","84:94:8c:66:bc:88","qua","ZON-BC80","0","19-07-2017 at 10:45:48","37.1365","-8.53776"
"31","a8:4e:3f:1b:1c:28","qua","NOS-1C20","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"32","f0:f2:49:4c:da:c8","qua","CAFE 1 MAIO","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"33","f0:f2:49:4d:a0:a8","qua","NOS-A0A0","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"34","a4:b1:e9:45:36:9d","qua","Silvestre","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"35","1c:ab:c0:ee:37:58","qua","NOS-3750","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"36","1c:ab:c0:da:53:98","qua","NOS-5390","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"37","e0:b9:e5:b3:95:ad","qua","MEO-B395AD","0","19-07-2017 at 10:51:01","37.1366","-8.53781"
"38","00:26:5b:ba:eb:58","qua","ZON-EB50","0","19-07-2017 at 10:45:48","37.1365","-8.53776"
"39","00:26:5b:f5:bc:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 13:18:54","37.135","-8.53894"
"40","84:94:8c:66:bc:89","qua","NOS_WIFI_Fon","0","19-07-2017 at 10:45:49","37.1365","-8.53776"
"41","f0:f2:49:4c:da:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"42","00:05:ca:ab:44:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"43","f0:f2:49:4d:a0:a9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
"44","e2:b9:e5:b3:95:ae","qua","MEO-WiFi","0","19-07-2017 at 10:51:01","37.1366","-8.53781"
"45","1c:ab:c0:ee:37:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:21:01","37.1368","-8.53848"
