"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"513","c4:ea:1d:49:86:7f","ter","MEO-49867F","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"514","00:05:ca:9f:15:49","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"515","f0:f2:49:4d:c6:c8","ter","NOS-C6C0","0","18-07-2017 at 14:00:06","37.1416","-8.54618"
"516","f0:f2:49:4d:c6:c9","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:00:06","37.1416","-8.54618"
"517","84:94:8c:65:7e:78","ter","ZON-7E70","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"518","00:fc:8d:bf:0f:68","ter","NOS-0F60","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"519","e0:b9:e5:ad:bc:93","ter","MEO-ADBC93","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"520","d8:fb:5e:02:f7:4d","ter","Cabovisao-0C81","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"521","a8:4e:3f:2a:b2:c8","ter","NOS-B2C0","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"522","5c:0a:5b:34:32:41","ter","AndroidAP","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"523","e0:b9:e5:53:40:9b","ter","MEO-53409B","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"524","84:94:8c:65:7e:79","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"525","e2:b9:e5:ad:bc:94","ter","MEO-WiFi","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"526","f0:f2:49:ca:2a:e9","ter","FON_ZON_FREE_INTERNET","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"527","e4:8d:8c:f8:06:37","ter","MIRACHOROHOTEIS","0","18-07-2017 at 14:00:55","37.1416","-8.54618"
"528","84:94:8c:04:f1:e9","ter","NOS_WIFI_Fon","1","18-07-2017 at 14:01:39","37.134","-8.54522"
"529","84:94:8c:04:f1:e8","ter","ZON-F1E0","0","18-07-2017 at 14:01:39","37.134","-8.54522"
"530","f4:f2:6d:31:84:e8","ter","LUSYA VETA","0","18-07-2017 at 14:01:39","37.134","-8.54522"
"531","44:d9:e7:fa:96:3b","ter","Code","0","18-07-2017 at 14:01:17","37.1333","-8.54519"
"532","98:fc:11:ab:58:8a","ter","OptAmparoContinente","0","18-07-2017 at 14:01:39","37.134","-8.54522"
"533","00:05:ca:d7:39:58","ter","ZON-3950","0","18-07-2017 at 14:02:03","37.1357","-8.54445"
"534","a4:b1:e9:78:fa:cb","ter","PousAki","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"535","f0:f2:49:99:67:18","ter","NOS-6710","0","18-07-2017 at 14:02:03","37.1357","-8.54445"
"536","9c:97:26:a1:03:f7","ter","MEO-A103F7","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"537","f0:f2:49:99:f2:f8","ter","NOS-F2F0","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"538","58:98:35:bb:db:9d","ter","MEO-BBDB9D","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"539","60:e3:27:5a:ae:7c","ter","NOS-B5D0","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"540","98:de:d0:c0:9f:ee","ter","MEO-BA3579","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"541","e8:94:f6:f5:3b:94","ter","TP-LINK_F53B94","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"542","f0:f2:49:c9:0f:f8","ter","NOS-0FF0","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"543","00:05:ca:d7:39:59","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"544","84:94:8c:10:2a:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"545","f0:f2:49:99:67:19","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"546","f0:f2:49:99:f2:f9","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"547","5a:98:35:bb:db:9e","ter","MEO-WiFi","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"548","f0:f2:49:c9:0f:f9","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:04","37.1357","-8.54445"
"549","84:94:8c:a5:51:88","ter","NOS-5180","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"550","50:c7:bf:37:b4:82","ter","TP-LINK_B482","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"551","00:24:17:9f:93:5a","ter","Thomson890C29","0","18-07-2017 at 14:02:27","37.1361","-8.54278"
"552","30:91:8f:00:80:1b","ter","Vodafone-00801B","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"553","00:05:ca:79:46:79","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"554","02:24:17:9f:93:5b","ter","MEO-WiFi","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"555","c2:d9:62:04:a5:1c","ter","MEO-WiFi","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"556","64:66:b3:fa:27:12","ter","andrade","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"557","e8:94:f6:b9:4c:80","ter","XL MASTER REPRESENTA","0","18-07-2017 at 14:02:28","37.1361","-8.54278"
"558","54:25:ea:78:1a:fa","ter","HUAWEI-B310-1AFA","0","18-07-2017 at 14:02:51","37.1354","-8.54135"
"559","30:91:8f:50:c1:24","ter","MEO-50C124","0","18-07-2017 at 14:04:00","37.1365","-8.54076"
"560","a4:b1:e9:4b:9c:15","ter","Vodafone-4B9C15","0","18-07-2017 at 14:05:40","37.1367","-8.53921"
"561","68:b6:fc:5a:29:38","ter","ZON-2930","0","18-07-2017 at 17:43:45","37.1358","-8.53829"
"562","f0:f2:49:4d:a0:a9","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:06:28","37.1365","-8.53864"
"563","8e:79:67:a6:0f:02","ter","bolota","0","18-07-2017 at 14:06:54","37.1366","-8.53839"
"564","84:94:8c:f0:7d:68","ter","TUNEL2","0","18-07-2017 at 14:06:54","37.1366","-8.53839"
"565","fa:8f:ca:5d:69:c6","ter","Unknown","0","18-07-2017 at 14:06:54","37.1366","-8.53839"
"566","84:94:8c:67:cd:29","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:06:54","37.1366","-8.53839"
"567","00:26:5b:48:be:08","ter","Pastelaria Riviera","0","18-07-2017 at 14:07:21","37.1366","-8.53862"
"568","00:26:5b:48:be:09","ter","NOS_WIFI_Fon","0","18-07-2017 at 14:07:21","37.1366","-8.53862"
"569","02:27:22:55:40:62","ter","CMP Publico","0","18-07-2017 at 14:07:48","37.1366","-8.53862"
"570","36:69:87:8c:8f:c3","ter","MEO-8C8FC3","0","18-07-2017 at 14:09:57","37.1416","-8.54618"
"571","a4:71:74:38:27:72","ter","MEO-382772","0","18-07-2017 at 14:24:02","37.1416","-8.54618"
