latitude,longitude
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.54125
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1305,-8.54088
37.1303,-8.5415
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.5415
37.1303,-8.5415
37.1305,-8.54088
37.1303,-8.5415
37.1305,-8.54088
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.54125
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.5415
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54116
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.54125
37.1305,-8.54088
37.1305,-8.54088
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1305,-8.54088
37.1304,-8.54116
37.1315,-8.54481
37.1305,-8.54088
37.1305,-8.54088
37.1302,-8.54112
37.1303,-8.54125
37.1305,-8.54088
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1303,-8.54125
37.1315,-8.54481
37.1303,-8.54125
37.1303,-8.54116
37.1305,-8.54088
37.1304,-8.54116
37.1304,-8.54116
37.1302,-8.54112
37.1303,-8.54107
37.1303,-8.54116
