latitude,longitude
37.1354,-8.54546
37.1354,-8.54546
37.1354,-8.54546
37.1478,-8.54718
37.1423,-8.5478
37.1423,-8.5478
37.1423,-8.5478
37.1423,-8.5478
37.1423,-8.5478
37.1522,-8.55391
37.1486,-8.5478
37.1486,-8.5478
37.1486,-8.5478
37.1486,-8.5478
37.148,-8.54784
37.148,-8.54778
37.148,-8.54778
37.1478,-8.54793
37.1478,-8.54768
37.1478,-8.54793
37.1478,-8.54793
37.1477,-8.54774
37.1486,-8.5478
37.1522,-8.55391
37.1508,-8.55197
37.1508,-8.55197
37.1508,-8.55197
37.1535,-8.55486
37.1508,-8.55197
37.1535,-8.55486
37.1535,-8.55486
37.1535,-8.55486
37.1522,-8.55391
37.1522,-8.55391
37.1522,-8.55391
37.1338,-8.56803
37.1327,-8.57157
37.1327,-8.57157
